sensor,scenario,model,dog_id,accuracy
Back,A+G,NN,16,0.9218241042345277
Back,A+G,NN,18,0.9961240310077519
Back,A+G,NN,19,0.8974358974358975
Back,A+G,NN,20,0.9500713266761769
Back,A+G,NN,21,0.9394939493949395
Back,A+G,NN,22,0.9376590330788804
Back,A+G,NN,23,0.9522988505747126
Back,A+G,NN,25,0.9819651741293532
Back,A+G,NN,26,0.988031119090365
Back,A+G,NN,27,0.9722976643128735
Back,A+G,NN,28,0.9949302915082383
Back,A+G,NN,29,0.9698825931597754
Back,A+G,NN,30,0.8331441543700341
Back,A+G,NN,33,0.894141829393628
Back,A+G,NN,34,0.972972972972973
Back,A+G,NN,36,0.9791666666666666
Back,A+G,NN,39,0.8596590909090909
Back,A+G,NN,41,0.9562264150943396
Back,A+G,NN,43,0.9778869778869779
Back,A+G,NN,44,0.9714599341383096
Back,A+G,NN,45,0.8995391705069125
Back,A+G,NN,46,0.9663394109396914
Back,A+G,NN,47,0.9608158883521203
Back,A+G,NN,48,0.9941050375133976
Back,A+G,NN,49,0.8493150684931506
Back,A+G,NN,51,0.8103651354534747
Back,A+G,NN,52,0.7925531914893617
Back,A+G,NN,53,0.9434954007884363
Back,A+G,NN,54,0.9701754385964912
Back,A+G,NN,55,0.7929577464788733
Back,A+G,NN,56,0.993704092339979
Back,A+G,NN,57,0.9059304703476483
Back,A+G,NN,58,0.9667812142038946
Back,A+G,NN,59,0.9014830508474576
Back,A+G,NN,60,0.9656652360515021
Back,A+G,NN,61,0.8765957446808511
Back,A+G,NN,63,0.9119119119119119
Back,A+G,NN,65,0.9727047146401985
Back,A+G,NN,66,0.7189605389797883
Back,A+G,NN,67,0.8752783964365256
Back,A+G,NN,68,0.9786276715410573
Back,A+G,NN,70,0.8335005015045135
Back,A+G,NN,72,0.9749518304431599
Back,A+G,NN,73,0.9910793933987511
Back,A+G,NN,74,0.9719137818419333
Back,A only,NN,16,0.9256243213897937
Back,A only,NN,18,0.9186046511627907
Back,A only,NN,19,0.9122807017543859
Back,A only,NN,20,0.9400855920114123
Back,A only,NN,21,0.9130913091309131
Back,A only,NN,22,0.9376590330788804
Back,A only,NN,23,0.9540229885057471
Back,A only,NN,25,0.9769900497512438
Back,A only,NN,26,0.9844404548174746
Back,A only,NN,27,0.9815317762085823
Back,A only,NN,28,0.9594423320659062
Back,A only,NN,29,0.9438489025012762
Back,A only,NN,30,0.753688989784336
Back,A only,NN,33,0.8612538540596094
Back,A only,NN,34,0.9724214009928296
Back,A only,NN,36,0.9836309523809523
Back,A only,NN,39,0.8835227272727273
Back,A only,NN,41,0.9426415094339623
Back,A only,NN,43,0.9783783783783784
Back,A only,NN,44,0.9703622392974753
Back,A only,NN,45,0.8815668202764977
Back,A only,NN,46,0.9256661991584852
Back,A only,NN,47,0.9479334406870639
Back,A only,NN,48,0.969989281886388
Back,A only,NN,49,0.8555417185554172
Back,A only,NN,51,0.8633686690223793
Back,A only,NN,52,0.7832446808510638
Back,A only,NN,53,0.8988173455978975
Back,A only,NN,54,0.9719298245614035
Back,A only,NN,55,0.8661971830985915
Back,A only,NN,56,0.9968520461699895
Back,A only,NN,57,0.9304703476482618
Back,A only,NN,58,0.9610538373424972
Back,A only,NN,59,0.9396186440677966
Back,A only,NN,60,0.9513590844062947
Back,A only,NN,61,0.8446808510638298
Back,A only,NN,63,0.8668668668668669
Back,A only,NN,65,0.9875930521091811
Back,A only,NN,66,0.7131857555341675
Back,A only,NN,67,0.8663697104677061
Back,A only,NN,68,0.9381327334083239
Back,A only,NN,70,0.7863590772316951
Back,A only,NN,72,0.9778420038535646
Back,A only,NN,73,0.9794826048171276
Back,A only,NN,74,0.9699542782495101
Neck,A+G,NN,16,0.8914223669923995
Neck,A+G,NN,18,0.7222222222222222
Neck,A+G,NN,19,0.7489878542510121
Neck,A+G,NN,20,0.8145506419400856
Neck,A+G,NN,21,0.7645764576457645
Neck,A+G,NN,22,0.6730279898218829
Neck,A+G,NN,23,0.7137931034482758
Neck,A+G,NN,25,0.6374378109452736
Neck,A+G,NN,26,0.7660083782166367
Neck,A+G,NN,27,0.750678978815861
Neck,A+G,NN,28,0.7008871989860583
Neck,A+G,NN,29,0.9561000510464522
Neck,A+G,NN,30,0.7122587968217934
Neck,A+G,NN,33,0.8098663926002055
Neck,A+G,NN,34,0.8135686707115278
Neck,A+G,NN,36,0.4895833333333333
Neck,A+G,NN,39,0.5880681818181818
Neck,A+G,NN,41,0.6249056603773585
Neck,A+G,NN,43,0.856019656019656
Neck,A+G,NN,44,0.7409440175631175
Neck,A+G,NN,45,0.8188940092165898
Neck,A+G,NN,46,0.624590930341281
Neck,A+G,NN,47,0.8765432098765432
Neck,A+G,NN,48,0.8242229367631297
Neck,A+G,NN,49,0.8798256537982565
Neck,A+G,NN,51,0.817432273262662
Neck,A+G,NN,52,0.6343085106382979
Neck,A+G,NN,53,0.7201051248357424
Neck,A+G,NN,54,0.8421052631578947
Neck,A+G,NN,55,0.8352112676056338
Neck,A+G,NN,56,0.7324239244491081
Neck,A+G,NN,57,0.6717791411042945
Neck,A+G,NN,58,0.7605956471935853
Neck,A+G,NN,59,0.8845338983050848
Neck,A+G,NN,60,0.703862660944206
Neck,A+G,NN,61,0.8063829787234043
Neck,A+G,NN,63,0.6816816816816816
Neck,A+G,NN,65,0.5459057071960298
Neck,A+G,NN,66,0.7314725697786333
Neck,A+G,NN,67,0.8452115812917594
Neck,A+G,NN,68,0.8638920134983127
Neck,A+G,NN,70,0.7492477432296891
Neck,A+G,NN,72,0.7610789980732178
Neck,A+G,NN,73,0.951828724353256
Neck,A+G,NN,74,0.6871325930764206
Neck,A only,NN,16,0.9011943539630836
Neck,A only,NN,18,0.7364341085271318
Neck,A only,NN,19,0.7462887989203779
Neck,A only,NN,20,0.8131241084165478
Neck,A only,NN,21,0.7843784378437844
Neck,A only,NN,22,0.6653944020356234
Neck,A only,NN,23,0.7120689655172414
Neck,A only,NN,25,0.7133084577114428
Neck,A only,NN,26,0.8156792339916218
Neck,A only,NN,27,0.6757197175448126
Neck,A only,NN,28,0.6768060836501901
Neck,A only,NN,29,0.962736089841756
Neck,A only,NN,30,0.7196367763904654
Neck,A only,NN,33,0.7821171634121274
Neck,A only,NN,34,0.7810259238830667
Neck,A only,NN,36,0.5074404761904762
Neck,A only,NN,39,0.5573863636363636
Neck,A only,NN,41,0.6279245283018868
Neck,A only,NN,43,0.8206388206388207
Neck,A only,NN,44,0.6959385290889133
Neck,A only,NN,45,0.7682027649769585
Neck,A only,NN,46,0.5918653576437588
Neck,A only,NN,47,0.8480944712828771
Neck,A only,NN,48,0.7781350482315113
Neck,A only,NN,49,0.7652552926525529
Neck,A only,NN,51,0.8433451118963486
Neck,A only,NN,52,0.6117021276595744
Neck,A only,NN,53,0.7253613666228647
Neck,A only,NN,54,0.8035087719298246
Neck,A only,NN,55,0.795774647887324
Neck,A only,NN,56,0.6977964323189927
Neck,A only,NN,57,0.7085889570552147
Neck,A only,NN,58,0.738831615120275
Neck,A only,NN,59,0.8273305084745762
Neck,A only,NN,60,0.6752503576537912
Neck,A only,NN,61,0.7840425531914894
Neck,A only,NN,63,0.6156156156156156
Neck,A only,NN,65,0.5508684863523573
Neck,A only,NN,66,0.7295476419634264
Neck,A only,NN,67,0.8585746102449888
Neck,A only,NN,68,0.8953880764904387
Neck,A only,NN,70,0.8004012036108324
Neck,A only,NN,72,0.7369942196531792
Neck,A only,NN,73,0.9705619982158786
Neck,A only,NN,74,0.6734160679294579
